false_positive_rate,true_positive_rate,threshold
0.00315955766192733,0.060991277300696464,0.9362080179103662
0.00315955766192733,0.06105889512475488,0.9361491811067421
0.00315955766192733,0.06114905222349945,0.9361434443911988
0.00315955766192733,0.06139698424504699,0.9359619265001011
0.00315955766192733,0.06144206279441928,0.9359489719713429
0.00315955766192733,0.06153221989316384,0.9359177481524387
0.00315955766192733,0.06168999481596682,0.9359013715228428
0.00315955766192733,0.0617350733653391,0.9358955765270622
0.00315955766192733,0.06198300538688665,0.9358830417206024
0.00315955766192733,0.06205062321094507,0.9358537660863308
0.00315955766192733,0.06241125160592332,0.9356831024878075
0.00315955766192733,0.0624563301552956,0.9356686729228062
0.00315955766192733,0.0625690265287263,0.9356113254730748
0.00315955766192733,0.06261410507809859,0.9356070687896583
0.00315955766192733,0.06265918362747087,0.9355920120566107
0.00315955766192733,0.06270426217684315,0.9355844079581584
0.00315955766192733,0.06277188000090157,0.9355322335376324
0.00315955766192733,0.06281695855027385,0.9355247338757602
0.00315955766192733,0.06301981202244912,0.9353529307833183
0.00315955766192733,0.06326774404399667,0.9353405552363614
0.00315955766192733,0.0632902833186828,0.9353326504319583
0.00315955766192733,0.06335790114274123,0.9353261469904779
0.00315955766192733,0.06353821534023035,0.9351186604264227
0.00315955766192733,0.06365091171366105,0.9351178746179261
0.00315955766192733,0.06371852953771948,0.9350992058104877
0.00315955766192733,0.06376360808709176,0.9350848404922363
0.00315955766192733,0.06385376518583633,0.9349950615457903
0.00315955766192733,0.0638988437352086,0.9349733599718271
0.00315955766192733,0.06452994342642054,0.9345810876286419
0.00315955766192733,0.06457502197579282,0.9345778192325641
0.00315955766192733,0.06511596456826019,0.9342941026741162
0.00315955766192733,0.06520612166700475,0.9342876067443436
0.00315955766192733,0.0652286609416909,0.9342534782832774
0.00315955766192733,0.06536389658980774,0.9342233258184568
0.00315955766192733,0.06561182861135528,0.9340601161653606
0.00315955766192733,0.06565690716072757,0.9340505340062225
0.00315955766192733,0.0657921428088444,0.9340068792745538
0.00315955766192733,0.06594991773164739,0.9340054292878356
0.00315955766192733,0.06601753555570582,0.9339874649047449
0.00315955766192733,0.0660626141050781,0.9339842426713576
0.00315955766192733,0.06608515337976424,0.9339688059633594
0.00315955766192733,0.06662609597223161,0.9339621509301566
0.00315955766192733,0.06671625307097617,0.9339402548413406
0.00315955766192733,0.06680641016972073,0.9339060708453756
0.00315955766192733,0.06685148871909302,0.9338659475194023
0.00315955766192733,0.06759528478373567,0.933863879245031
0.00315955766192733,0.06775305970653864,0.9337628210343828
0.00315955766192733,0.06779813825591093,0.9337611059781703
0.00315955766192733,0.06791083462934162,0.9337023721899357
0.00315955766192733,0.06800099172808619,0.9336862944055188
0.00315955766192733,0.06820384520026146,0.9335150044226731
0.00315955766192733,0.06827146302431988,0.9335118387005131
