company,count,percent
"Innovate Managed Holdings, LLC",91,0.01
"Nelnet, Inc.",91,0.01
"Figure Technologies, Inc",91,0.01
"Porsche Financial Services, Inc.",91,0.01
Healthcare Finance Direct LLC.,91,0.01
"Uetsa Tsakits, Inc. d/b/a MaxLend",90,0.01
Glacier Bancorp Inc.,90,0.01
"Click n' Close, Inc.",90,0.01
"American Financial Resources, Inc.",90,0.01
"Spring Oaks Capital, LLC",89,0.01
N26 Inc.,89,0.01
LAKE MICHIGAN CREDIT UNION,89,0.01
"Acra Intermediate Holdings, LLC",88,0.01
"AAA Auto Title Loans, LLC",88,0.01
QC HOLDINGS INC,88,0.01
"Bepensa Capital, Inc.",88,0.01
Southern Auto Finance Co,88,0.01
EQUITY LOANS LLC,87,0.01
U.S. Auto Sales Inc.,87,0.01
"Payactiv, Inc.",87,0.01
WESTERN ALLIANCE BANCORPORATION,86,0.01
AUTOMOTIVE CREDIT CORPORATION,86,0.01
"DApps Platform, Inc.",85,0.01
Abra,84,0.01
FIRST HOME MORTGAGE CORPORATION,84,0.01
ATLANTIC BAY MORTGAGE GROUP LLC,83,0.01
"First Investors Servicing Corporation, Atlanta, GA Branch",83,0.01
"Mercari, Inc.",83,0.01
FIRST UNITED BANK AND TRUST COMPANY,82,0.01
INDEPENDENT BANK CORP.,81,0.01
TapTap Send Inc.,81,0.01
Betterment LLC,81,0.01
Mortgage Lenders Investment Trading Corp,81,0.01
LendingUSA,80,0.01
NATIONS LENDING CORPORATION,79,0.01
Post Lake Lending Inc.,79,0.01
Circle Internet Financial,79,0.01
FRANKLIN AMERICAN MORTGAGE CO.,78,0.01
"BILL.COM, LLC",78,0.01
TRANSWORLD SYSTEMS INC,78,0.01
"HOPE BANCORP, INC.",78,0.01
"Deinde Online Services, LLC",78,0.01
UBS BANK USA,77,0.01
"Cash Express, LLC",77,0.01
CIBC BANCORP USA INC.,76,0.01
"Northern Trust Company, The",76,0.01
"Service Finance Holdings, LLC",76,0.01
INTERCONTINENTAL CAPITAL GROUP,76,0.01
"Midwest Loan Services, Inc.",74,0.01
"Empowerment Ventures, LLC",74,0.01
"Capital Markets Cooporative, LLC",74,0.01
"Ava Finance, Inc",74,0.01
AMERICAN NEIGHBORHOOD MORTGAGE,73,0.01
"Uplift, Inc",72,0.01
"Aldridge Pite, LLP",71,0.01
"Navient Solutions, LLC.",71,0.01
Siwell Inc,71,0.01
"Avid Acceptance, LLC",70,0.01
Global Tel*Link Corporation,70,0.01
"Credit Central Holdings, LLC",69,0.01
Velocity Portfolio Group,69,0.01
"Longbridge Financial, LLC",69,0.01
Fundo LLC,68,0.01
DFC Global Corp.,68,0.01
"GREAT WESTERN BANCORP, INC.",67,0.01
DigniFi,67,0.01
"Arivo Acceptance, LLC",67,0.01
"Sensible Auto Lending, LLC",67,0.01
Fig Tech Inc.,67,0.01
"Universal Account Servicing, LLC",67,0.01
"CAVALRY INVESTMENTS, LLC",67,0.01
FIRST COMMONWEALTH FINANCIAL CORPORATION,66,0.01
"Auto Now Financial Services, Inc., Phoenix, AZ Branch",66,0.01
ZARVAD III S.A.,66,0.01
Exto Inc.,66,0.01
"SANDY SPRING BANCORP, INC.",65,0.01
"Flexible Finance, Inc.",65,0.01
Security National Financial Corp,65,0.01
RELIANCE FIRST CAPITAL LLC,65,0.01
"NEXA Mortgage, LLC",65,0.01
"Phelan Hallinan Diamond & Jones, PC",65,0.01
"Momnt Technologies, Inc.",65,0.01
Celsius US Holding LLC,65,0.01
"Automatic Data Processing, Inc.",64,0.0
"CashRepublic Holdings, Inc.",64,0.0
360 MORTGAGE GROUP LLC,64,0.0
"PINNACLE FINANCIAL PARTNERS, INC.",64,0.0
FB FINANCIAL CORPORATION,64,0.0
"Eagle Financial Services, Inc.",64,0.0
Bright Capital Inc,64,0.0
"Sparrow Financial, Inc.",63,0.0
ROYAL UNITED MORTGAGE LLC,63,0.0
State Home Mortgage,63,0.0
Southwest Stage Funding,62,0.0
PREFERRED CREDIT INC,62,0.0
CCM Finance LLC,62,0.0
LEXISNEXIS,61,0.0
RockLoans Holdings LLC,61,0.0
AG AH LLC,61,0.0
"BCI FINANCIAL GROUP, INC.",61,0.0
"AMERINATIONAL COMMUNITY SERVICES, INC.",61,0.0
"TradeStation Group, Inc.",59,0.0
"Bilt Technologies, Inc.",59,0.0
Consumer Financial Services,59,0.0
M1 Holdings Inc.,59,0.0
CountryPlace Acceptance Corporation,59,0.0
Sunnova Energy Corporation,59,0.0
"Sunset Management, Inc",59,0.0
"Majority USA, LLC",59,0.0
GREENSTATE CREDIT UNION,59,0.0
BUSEY BANK,58,0.0
Benht: Economic Development Corporation,58,0.0
Nicholas Financial Inc.,58,0.0
Giggle Finance Inc.,58,0.0
"Caneel Capital, LLC",57,0.0
"Mcburberod Financial, Inc. d/b/a SeedFi",57,0.0
"GLOBAL CLIENT SOLUTIONS, LLC",57,0.0
STANDARD MORTGAGE CORPORATION,57,0.0
"PACIFIC PREMIER BANCORP, INC.",57,0.0
Kovo,57,0.0
"Big City Finance, LLLP",56,0.0
"Hatfield, Inc.",56,0.0
NETWORK CAPITAL FUNDING CORP,56,0.0
"Gitsit Solutions, LLC.",56,0.0
"Eagle Home Mortgage, LLC",56,0.0
"SUMMIT FUNDING, INC.",55,0.0
ADIR INTERNATIONAL LLC,55,0.0
"Auto Trakk, LLC",55,0.0
"B9, Inc.",55,0.0
Crossroads Systems Inc.,55,0.0
"Panorama Mortgage Group, LLC",55,0.0
TOWNE MORTGAGE COMPANY,55,0.0
AES/PHEAA,54,0.0
Garrison Investment Group,54,0.0
Equitable Acceptance Corp,54,0.0
"FBC MORTGAGE, LLC",54,0.0
Royal Pacific Funding Corporation,54,0.0
U.S. Auto Credit Corporation,54,0.0
QUALITY ACCEPTANCE LLC,53,0.0
OFG BANCORP,53,0.0
Pending Company Match,52,0.0
SANTANDER BANCORP,52,0.0
"Atlas Credit Company, Inc.",52,0.0
"The Savings Group, Inc.",52,0.0
Finance of America Mortgage LLC,51,0.0
"Propel, Inc.",51,0.0
Essential Lending Inc,51,0.0
Foursight Holding LLC,51,0.0
Home American Mortgage Corp,51,0.0
Radius Global Solutions LLC,51,0.0
